model,seed,condition,accuracy,macro_f1,weighted_f1,mae,pearson
state_aug,43,vision_10_back,0.5810439560439561,0.5180106214588973,0.554784972272657,0.6648430228233337,0.5476619440899312
state_aug,43,vision_30_front,0.5851648351648352,0.5193093777312635,0.5568266591298184,0.6657820343971252,0.5499417342826315
state_aug,43,vision_30_middle,0.5769230769230769,0.5124712002972872,0.5503846153846154,0.6691065430641174,0.5451886585402707
state_aug,43,vision_30_back,0.5755494505494505,0.5134948824263982,0.5503913302536227,0.666185736656189,0.5447274057718123
state_aug,43,vision_50_front,0.5755494505494505,0.5104430238701338,0.5475983392164079,0.6725313663482666,0.5459225779823395
state_aug,43,vision_50_middle,0.5728021978021978,0.5082481639272013,0.5462969310441205,0.6742749810218811,0.5418467044791664
state_aug,43,vision_50_back,0.5714285714285714,0.5076409618569969,0.5455497804240594,0.6720393896102905,0.5394439172757014
state_aug,43,audio_vision_30_sync,0.5824175824175825,0.5264507669268496,0.5616316221962151,0.675667405128479,0.5527053158630262
state_aug,43,text_audio_30_sync,0.5604395604395604,0.5168768185844019,0.5474367585307205,0.6964103579521179,0.48570912328488974
state_aug,43,audio_vision_30_offset,0.5837912087912088,0.5346173600410888,0.5670147648961208,0.6713298559188843,0.5473454670756426
state_aug,43,audio_30_two_blocks,0.6043956043956044,0.5476636978348721,0.5823088525783298,0.6665375232696533,0.5508853166842925
mult,17,clean,0.5755494505494505,0.5346025920603358,0.5652792905630539,0.6789816617965698,0.5291951333064205
mult,17,text_10_front,0.5659340659340659,0.5274430469534207,0.5576876549906111,0.6827231049537659,0.5190577461823691
mult,17,text_10_middle,0.5714285714285714,0.5288625402089736,0.5614891585311746,0.6868090033531189,0.5195672950700724
mult,17,text_10_back,0.5467032967032966,0.45269324653657633,0.5019718179644281,0.7034002542495728,0.4994886787662601
mult,17,text_30_front,0.5659340659340659,0.5282729916357544,0.5599567050854605,0.691716194152832,0.4846370215985583
mult,17,text_30_middle,0.5631868131868132,0.5302473141538683,0.5574437738407511,0.7009285688400269,0.49034201740402195
mult,17,text_30_back,0.5315934065934066,0.44050964648154345,0.4890926529141652,0.6971762776374817,0.5019920784877089
mult,17,text_50_front,0.5521978021978022,0.5211994131391378,0.550402096574653,0.7112111449241638,0.45813407020909425
