model,seed,condition,accuracy,macro_f1,weighted_f1,mae,pearson
smooth_aug,17,vision_10_front,0.5865384615384616,0.5480413840226924,0.5755416720203103,0.6687384247779846,0.5369265196680646
smooth_aug,17,vision_10_middle,0.5865384615384616,0.5475886741860131,0.5752081192756703,0.6685952544212341,0.5366799194321535
smooth_aug,17,vision_10_back,0.5796703296703297,0.540090498657256,0.5679927203947966,0.6696496605873108,0.5361353393248045
smooth_aug,17,vision_30_front,0.5810439560439561,0.5430152811420147,0.5708960979141502,0.6691997051239014,0.5380142678218482
smooth_aug,17,vision_30_middle,0.5879120879120879,0.5519224244538913,0.5787038568770992,0.6709869503974915,0.5348009414827956
smooth_aug,17,vision_30_back,0.5796703296703297,0.542994042994043,0.5706702688202201,0.6724799871444702,0.5305811312164707
smooth_aug,17,vision_50_front,0.5755494505494505,0.5387654703480984,0.5667089671760539,0.6728759407997131,0.5354157976940908
smooth_aug,17,vision_50_middle,0.5796703296703297,0.5443902553563571,0.572325590140211,0.6743724346160889,0.5305800074358268
smooth_aug,17,vision_50_back,0.5810439560439561,0.546989081501816,0.5741509181344472,0.6751986145973206,0.5245773549500037
smooth_aug,17,audio_vision_30_sync,0.5782967032967034,0.5545361858353764,0.579707756341536,0.6712767481803894,0.5512608774977107
smooth_aug,17,text_audio_30_sync,0.5508241758241759,0.514271107477736,0.5432380022730037,0.7090933918952942,0.46905317787953843
smooth_aug,17,audio_vision_30_offset,0.5686813186813187,0.5377788619029521,0.564996838990567,0.6707638502120972,0.5412437396852696
smooth_aug,17,audio_30_two_blocks,0.5741758241758241,0.5399885941437428,0.5668007701880241,0.6665198802947998,0.5462878725179735
smooth_aug,29,clean,0.5824175824175825,0.536958560160088,0.5669813826424139,0.6557283997535706,0.5509505548969137
smooth_aug,29,text_10_front,0.5673076923076923,0.520458251299014,0.5523934154382164,0.6679816842079163,0.5364575334378483
smooth_aug,29,text_10_middle,0.5659340659340659,0.5205966658300323,0.5520432716666226,0.668756365776062,0.5363025905837128
smooth_aug,29,text_10_back,0.5728021978021978,0.5275387846631886,0.558530421552079,0.6693183779716492,0.5350536307545238
smooth_aug,29,text_30_front,0.5590659340659341,0.5194141110148516,0.5482377594837762,0.6971539258956909,0.48296202258889936
smooth_aug,29,text_30_middle,0.521978021978022,0.4836686956225374,0.5150692349492383,0.7054451704025269,0.469521236465722
smooth_aug,29,text_30_back,0.5521978021978022,0.5173385801970131,0.5443487762828423,0.6991328001022339,0.5041708312236646
smooth_aug,29,text_50_front,0.5260989010989011,0.49222744578935834,0.5206594114108071,0.7297252416610718,0.4309758122536729
smooth_aug,29,text_50_middle,0.49725274725274726,0.4680229525299948,0.49669469810314876,0.7412607669830322,0.41315881203295574
smooth_aug,29,text_50_back,0.5233516483516484,0.5009922479704914,0.5232378434067961,0.7383900880813599,0.4282096132551994
smooth_aug,29,audio_10_front,0.5824175824175825,0.5380478916114648,0.5679803160374257,0.6557491421699524,0.5532513828927516
smooth_aug,29,audio_10_middle,0.5851648351648352,0.53920002960898,0.5699165485239351,0.6538622379302979,0.5554802375012724
smooth_aug,29,audio_10_back,0.5837912087912088,0.5391214470284238,0.5692212484278149,0.6548802256584167,0.5521015532672157
smooth_aug,29,audio_30_front,0.5741758241758241,0.533911294232898,0.5630466939048511,0.6568396687507629,0.5555546953771137
smooth_aug,29,audio_30_middle,0.5851648351648352,0.5403061396359002,0.5709407719312054,0.6554672122001648,0.5569919563336424
smooth_aug,29,audio_30_back,0.5824175824175825,0.5394490269646475,0.5690843304259249,0.6537796854972839,0.5542286970033033
smooth_aug,29,audio_50_front,0.5796703296703297,0.5394309030162421,0.5683170231257697,0.6610183715820312,0.5553442088295064
smooth_aug,29,audio_50_middle,0.5865384615384616,0.5444596388887454,0.5740244780477722,0.6613093614578247,0.5547984446738189
smooth_aug,29,audio_50_back,0.5865384615384616,0.5461931694915773,0.5743579267215931,0.6595144867897034,0.553237684422177
smooth_aug,29,vision_10_front,0.5810439560439561,0.5371437860289472,0.5667840796236406,0.6551650762557983,0.5509382694158079
smooth_aug,29,vision_10_middle,0.5782967032967034,0.5316017210839231,0.5627470014099344,0.6558765172958374,0.5494682525285648
smooth_aug,29,vision_10_back,0.5824175824175825,0.5371359719289329,0.5673698994244074,0.6550449132919312,0.5508860551958004
smooth_aug,29,vision_30_front,0.5714285714285714,0.5251314293833476,0.5568213001477068,0.6539506316184998,0.5498661701255563
smooth_aug,29,vision_30_middle,0.5714285714285714,0.5266058105217294,0.5571150407213503,0.6545864343643188,0.5477751332736253
smooth_aug,29,vision_30_back,0.5769230769230769,0.5338184286135207,0.563936522612621,0.6547256112098694,0.547448638329574
smooth_aug,29,vision_50_front,0.5659340659340659,0.5218638844394713,0.5526554109573216,0.6574063301086426,0.5455634313409985
smooth_aug,29,vision_50_middle,0.5714285714285714,0.5282356532356532,0.558893601819426,0.656085729598999,0.5439771028804093
smooth_aug,29,vision_50_back,0.5728021978021978,0.5328837362026723,0.5624112040115677,0.654835045337677,0.5434348313989228
smooth_aug,29,audio_vision_30_sync,0.5851648351648352,0.5483392793172571,0.5764931642845891,0.6579698920249939,0.5520261825676038
smooth_aug,29,text_audio_30_sync,0.5357142857142857,0.5015115751963645,0.5309211578932562,0.7135310769081116,0.47973072425572943
smooth_aug,29,audio_vision_30_offset,0.5782967032967034,0.5411464678069345,0.5683214870850716,0.6573731303215027,0.5524912449613375
smooth_aug,29,audio_30_two_blocks,0.5865384615384616,0.5455869141333337,0.5747915493841667,0.654995322227478,0.5550447985562287
smooth_aug,43,clean,0.5796703296703297,0.5240807205419628,0.5583135429006878,0.6803314089775085,0.5486893899889883
smooth_aug,43,text_10_front,0.5714285714285714,0.5113980975511834,0.5481430438129441,0.677575945854187,0.5342039600216739
smooth_aug,43,text_10_middle,0.5810439560439561,0.5230498033742906,0.557867659093601,0.6826056838035583,0.5337766674032152
smooth_aug,43,text_10_back,0.570054945054945,0.5205495232742461,0.5532887634850426,0.6866015195846558,0.5333354638857091
smooth_aug,43,text_30_front,0.5796703296703297,0.5282542102928104,0.5615575453702436,0.6899983286857605,0.4848863651875489
smooth_aug,43,text_30_middle,0.5618131868131868,0.5135349247297066,0.5447952893970158,0.7004343271255493,0.4859805509662549
smooth_aug,43,text_30_back,0.5508241758241759,0.4968314789508724,0.5309766944905489,0.6953640580177307,0.5105497308054302
smooth_aug,43,text_50_front,0.5425824175824175,0.4864843189703368,0.5233581595464526,0.7153279781341553,0.4381756517193123
smooth_aug,43,text_50_middle,0.5370879120879121,0.4969792077714816,0.5251167121520249,0.7239207029342651,0.4422266685474311
smooth_aug,43,text_50_back,0.5494505494505495,0.5035170047975768,0.5339112319853866,0.7189511060714722,0.451145102823394
smooth_aug,43,audio_10_front,0.5837912087912088,0.5312485792677754,0.5642196294646529,0.6821045875549316,0.5512091677172007
smooth_aug,43,audio_10_middle,0.5796703296703297,0.523356766866711,0.5577495918056953,0.6803706288337708,0.5521568180480089
smooth_aug,43,audio_10_back,0.5824175824175825,0.52786694749074,0.5617107309859144,0.6797744631767273,0.5503293992114743
smooth_aug,43,audio_30_front,0.5879120879120879,0.5387469350883985,0.5702721832948313,0.6866120100021362,0.5522674000305308
smooth_aug,43,audio_30_middle,0.5892857142857143,0.5411935032761986,0.5724495684135922,0.6856010556221008,0.5522598987133107
smooth_aug,43,audio_30_back,0.5989010989010989,0.5492862683246049,0.580757034183335,0.682438850402832,0.5513689899348935
smooth_aug,43,audio_50_front,0.5934065934065934,0.5490988131792375,0.5785952685570075,0.694136381149292,0.5528108072966419
smooth_aug,43,audio_50_middle,0.5934065934065934,0.5455584226027576,0.5767515180886047,0.6955862641334534,0.5498229221549105
smooth_aug,43,audio_50_back,0.6043956043956044,0.5567813422857343,0.5871143329589911,0.6901560425758362,0.5506513337998795
smooth_aug,43,vision_10_front,0.5837912087912088,0.5295854132718383,0.5630366253400874,0.6818123459815979,0.5491091679121168
smooth_aug,43,vision_10_middle,0.5755494505494505,0.5194410657022255,0.5535702266730607,0.6820096373558044,0.5473577785801121
smooth_aug,43,vision_10_back,0.5810439560439561,0.5265553794792567,0.5602309224062968,0.6812989115715027,0.5483641150614735
smooth_aug,43,vision_30_front,0.5796703296703297,0.5256719509979634,0.5590501075426068,0.6846684813499451,0.5474350508359159
smooth_aug,43,vision_30_middle,0.5769230769230769,0.5201156289201613,0.5543984259585696,0.6850637197494507,0.5446855915562577
smooth_aug,43,vision_30_back,0.5796703296703297,0.5272485149639629,0.5607652549416255,0.6840425133705139,0.545154162842508
smooth_aug,43,vision_50_front,0.5769230769230769,0.522302626746238,0.5565795019356048,0.6914673447608948,0.5429823866905839
smooth_aug,43,vision_50_middle,0.5782967032967034,0.5215430513532848,0.5566903919576335,0.6915486454963684,0.5401365280330451
smooth_aug,43,vision_50_back,0.5796703296703297,0.5283518381325361,0.5613908904805953,0.6901886463165283,0.5396336977066849
smooth_aug,43,audio_vision_30_sync,0.5810439560439561,0.537062070262955,0.5678677700992547,0.6969041228294373,0.5469716150181887
smooth_aug,43,text_audio_30_sync,0.5480769230769231,0.5083933284538781,0.5366427873144887,0.7084197998046875,0.48934547198614214
smooth_aug,43,audio_vision_30_offset,0.5837912087912088,0.538136579858219,0.5693601146618388,0.6907244920730591,0.5490445753887198
smooth_aug,43,audio_30_two_blocks,0.5961538461538461,0.5467601949843058,0.5785655678649672,0.6820643544197083,0.5533369864470363
state_aug,17,clean,0.5810439560439561,0.5357595944576876,0.5664995041530924,0.6558122038841248,0.5557812031264949
state_aug,17,text_10_front,0.5755494505494505,0.5299745437852854,0.5618184982438376,0.663219690322876,0.5439844084222537
state_aug,17,text_10_middle,0.5714285714285714,0.5313070577090979,0.5601157051501532,0.6657195091247559,0.5436588321489685
state_aug,17,text_10_back,0.5686813186813187,0.5252695520121488,0.5561033651238662,0.6668697595596313,0.541890073696529
state_aug,17,text_30_front,0.5618131868131868,0.5165052676255074,0.5478856504852258,0.6924836039543152,0.48774538392041783
state_aug,17,text_30_middle,0.5480769230769231,0.5121187406389555,0.5402853111828927,0.6933643221855164,0.4911318440022493
state_aug,17,text_30_back,0.5728021978021978,0.5327803247927729,0.5613229333704917,0.6857229471206665,0.5153472338713676
state_aug,17,text_50_front,0.5357142857142857,0.4913658130503733,0.5245361062758386,0.7208400964736938,0.44103843208347987
state_aug,17,text_50_middle,0.5247252747252747,0.4929531174079245,0.5208388219134767,0.7244743704795837,0.43448351139062047
state_aug,17,text_50_back,0.5425824175824175,0.5081939097252323,0.5359601662710967,0.7190605401992798,0.44372279421536187
state_aug,17,audio_10_front,0.5851648351648352,0.5432012915313346,0.5730973521580365,0.6544104814529419,0.5592442998012831
state_aug,17,audio_10_middle,0.5824175824175825,0.5404908636311224,0.5698783807859262,0.6525458097457886,0.5595249939251744
state_aug,17,audio_10_back,0.5837912087912088,0.5424111447727084,0.5718187209307856,0.6537809371948242,0.5587508415899354
state_aug,17,audio_30_front,0.5686813186813187,0.5320344353255746,0.5602074852860776,0.6540952324867249,0.5616829188600565
state_aug,17,audio_30_middle,0.5879120879120879,0.54989822902028,0.57814185124492,0.6529498100280762,0.5626430738468342
state_aug,17,audio_30_back,0.5892857142857143,0.5490783762859371,0.5785295720557756,0.6520808339118958,0.5627409991372325
state_aug,17,audio_50_front,0.5782967032967034,0.5457014821474019,0.5737071522281764,0.6545594334602356,0.564510520967831
state_aug,17,audio_50_middle,0.5837912087912088,0.5481333776829876,0.5774522197821571,0.6540286540985107,0.564516186304761
state_aug,17,audio_50_back,0.5934065934065934,0.5566923694237632,0.5853081725065038,0.6549582481384277,0.562173886288035
state_aug,17,vision_10_front,0.5810439560439561,0.5370558545496776,0.5671391341228625,0.6555183529853821,0.5560737444786799
state_aug,17,vision_10_middle,0.5796703296703297,0.5368328295339219,0.5665252962387307,0.6564327478408813,0.5551857218571848
state_aug,17,vision_10_back,0.5851648351648352,0.5422509248281265,0.5718131808282126,0.6559685468673706,0.555709338725329
state_aug,17,vision_30_front,0.5782967032967034,0.5370026089672518,0.5654757142199186,0.656905472278595,0.5541990888717699
state_aug,17,vision_30_middle,0.5837912087912088,0.5428403719894961,0.5717053932605626,0.6583691835403442,0.5526301109518852
state_aug,17,vision_30_back,0.5810439560439561,0.5424380768342333,0.5708462493942793,0.6584411859512329,0.5491780835521006
state_aug,17,vision_50_front,0.5810439560439561,0.5435678905552044,0.5699846808105092,0.6602665185928345,0.5517711554524344
state_aug,17,vision_50_middle,0.5865384615384616,0.5496084254008461,0.5763742158838363,0.6612893342971802,0.5488338875816985
state_aug,17,vision_50_back,0.5837912087912088,0.5478276353276353,0.5747241006856392,0.6627244353294373,0.5432441862366634
state_aug,17,audio_vision_30_sync,0.5851648351648352,0.5570830869573008,0.5822636650829685,0.6577065587043762,0.5616603066782552
state_aug,17,text_audio_30_sync,0.5645604395604396,0.531961709580074,0.5583318458387434,0.6933001279830933,0.49600518776853325
state_aug,17,audio_vision_30_offset,0.5796703296703297,0.5475216882346338,0.5738690760338905,0.6565300822257996,0.5553945923027387
state_aug,17,audio_30_two_blocks,0.5851648351648352,0.5497151369708814,0.577199719262186,0.6532598733901978,0.5614381348936419
state_aug,29,clean,0.5865384615384616,0.5442030000312047,0.5717553045404922,0.6655293703079224,0.5421490514284234
state_aug,29,text_10_front,0.5659340659340659,0.5189312324206515,0.5500868030044004,0.6792986392974854,0.5250634387702574
state_aug,29,text_10_middle,0.5810439560439561,0.5385276607130911,0.5676290321157871,0.6810451149940491,0.5226806506057604
state_aug,29,text_10_back,0.5645604395604396,0.5174343506160072,0.5485339657380183,0.6841617822647095,0.5187533783475666
state_aug,29,text_30_front,0.5480769230769231,0.503845432658992,0.5332999133893155,0.7141941785812378,0.4686126035576844
state_aug,29,text_30_middle,0.5233516483516484,0.48826781717357304,0.5149648575373704,0.7215421199798584,0.4583754233415741
state_aug,29,text_30_back,0.5412087912087912,0.5067166876057274,0.5326767547761196,0.7149621248245239,0.4861158256085456
state_aug,29,text_50_front,0.5082417582417582,0.47449451695231387,0.501221075818212,0.7531638741493225,0.4077904815780871
state_aug,29,text_50_middle,0.49725274725274726,0.4707894010194214,0.4949268009574771,0.7620096802711487,0.3890964741231932
state_aug,29,text_50_back,0.4876373626373626,0.46319936484798374,0.48401286987871583,0.7589465379714966,0.40548356660437923
state_aug,29,audio_10_front,0.5796703296703297,0.5383818278330806,0.566266718185116,0.6641348600387573,0.5448806500453304
state_aug,29,audio_10_middle,0.5851648351648352,0.5434382949045706,0.5708830377871015,0.6623327136039734,0.5472353371261253
state_aug,29,audio_10_back,0.5837912087912088,0.542549290190705,0.5698271857190321,0.6639764904975891,0.5440736719681768
state_aug,29,audio_30_front,0.5782967032967034,0.5380945619772247,0.5668111622877954,0.6629869341850281,0.5480172921886552
state_aug,29,audio_30_middle,0.5851648351648352,0.5429625786144439,0.572481688316114,0.660498321056366,0.551410636538523
state_aug,29,audio_30_back,0.5879120879120879,0.5462576179693898,0.5748379470059165,0.6621744632720947,0.5479707288538271
state_aug,29,audio_50_front,0.5865384615384616,0.5528723825041767,0.5779540204584039,0.6622128486633301,0.5504915840483668
state_aug,29,audio_50_middle,0.5934065934065934,0.5571763827232296,0.58365543663867,0.6624085307121277,0.551999060172065
state_aug,29,audio_50_back,0.5879120879120879,0.5487181311165495,0.5764141066559787,0.6642009019851685,0.5499993237969257
state_aug,29,vision_10_front,0.5824175824175825,0.5407110936349959,0.5687709561977876,0.6637730598449707,0.543056281139546
state_aug,29,vision_10_middle,0.5782967032967034,0.5373079123079123,0.5643519795305508,0.6642037034034729,0.5412059634628796
state_aug,29,vision_10_back,0.5837912087912088,0.5425863835829544,0.5696967863669522,0.6640704274177551,0.5424054451255406
state_aug,29,vision_30_front,0.5769230769230769,0.5365636575839242,0.564175489971638,0.6614760160446167,0.5432118999671368
state_aug,29,vision_30_middle,0.5741758241758241,0.53466668219288,0.5622607195406434,0.662906289100647,0.5391931730375752
state_aug,29,vision_30_back,0.5796703296703297,0.5359115157772876,0.5652684950568275,0.6631472110748291,0.5390991879865051
state_aug,29,vision_50_front,0.5659340659340659,0.5251566769393595,0.5534210635350582,0.6632094979286194,0.5391171295548578
state_aug,29,vision_50_middle,0.5728021978021978,0.5311590237358125,0.5602163878477328,0.6638749241828918,0.5355006047527286
state_aug,29,vision_50_back,0.5755494505494505,0.5332787811425157,0.5626778185169897,0.6635231375694275,0.5348555043100826
state_aug,29,audio_vision_30_sync,0.5837912087912088,0.5493464544022791,0.5766595129568737,0.6596987247467041,0.5489533701161807
state_aug,29,text_audio_30_sync,0.5192307692307693,0.4870651246289334,0.5140522161885065,0.7273582816123962,0.4712822179180044
state_aug,29,audio_vision_30_offset,0.5769230769230769,0.5403745679884046,0.5682878220607293,0.661813497543335,0.5451607548660503
